,step,trainloss,validloss,acc,f1-score
0,0.0,4.540205955505371,,,
1,1.0,4.0786333084106445,,,
2,2.0,5.258668899536133,,,
3,3.0,4.607985019683838,,,
4,4.0,4.735013961791992,,,
5,5.0,4.515475749969482,,,
6,6.0,5.430540084838867,,,
7,7.0,4.62208366394043,,,
8,8.0,4.448800086975098,,,
9,9.0,4.285482883453369,,,
10,10.0,4.71909236907959,,,
11,11.0,3.92722487449646,,,
12,12.0,5.121013641357422,,,
13,13.0,5.055759906768799,,,
14,14.0,4.864388942718506,,,
15,15.0,4.155341625213623,,,
16,16.0,5.0537428855896,,,
17,17.0,4.650015354156494,,,
18,18.0,4.552896022796631,,,
19,19.0,4.041662216186523,,,
20,20.0,4.362163543701172,,,
21,21.0,4.39890718460083,,,
22,22.0,4.705513000488281,,,
23,23.0,4.520427227020264,,,
24,24.0,4.4294753074646,,,
25,25.0,4.428099632263184,,,
26,26.0,4.403992652893066,,,
27,27.0,4.63155460357666,,,
28,28.0,4.6265106201171875,,,
29,29.0,4.854154109954834,,,
30,30.0,3.909195899963379,,,
31,31.0,4.035073280334473,,,
32,32.0,4.188110828399658,,,
33,33.0,4.392585277557373,,,
34,34.0,4.814944267272949,,,
35,35.0,4.198145866394043,,,
36,36.0,4.899842262268066,,,
37,37.0,4.234155654907227,,,
38,38.0,4.239983558654785,,,
39,39.0,4.23671293258667,,,
40,40.0,4.002994537353516,,,
41,41.0,4.698169708251953,,,
42,42.0,4.762359619140625,,,
43,43.0,4.128108978271484,,,
44,44.0,4.239283084869385,,,
45,45.0,4.074234962463379,,,
46,46.0,4.800376892089844,,,
47,47.0,4.210510730743408,,,
48,48.0,4.1881489753723145,,,
49,49.0,4.094841480255127,,,
50,50.0,4.825201034545898,,,
51,51.0,4.252804279327393,,,
52,52.0,3.9851198196411133,,,
53,53.0,4.523890018463135,,,
54,54.0,4.599784851074219,,,
55,55.0,4.302779197692871,,,
56,56.0,3.950756072998047,,,
57,57.0,4.814885139465332,,,
58,58.0,4.272727012634277,,,
59,59.0,4.4514617919921875,,,
60,60.0,4.266157150268555,,,
61,61.0,4.619733810424805,,,
62,62.0,4.259680271148682,,,
63,63.0,4.533545970916748,,,
64,64.0,4.5275983810424805,,,
65,65.0,4.154370307922363,0.15556820594903195,0.08333333333333333,0.04393857405221041
66,66.0,3.7798328399658203,,,
67,67.0,4.288382053375244,,,
68,68.0,4.327325820922852,,,
69,69.0,4.790653228759766,,,
70,70.0,3.9970662593841553,,,
71,71.0,3.5909945964813232,,,
72,72.0,4.404580593109131,,,
73,73.0,4.015926837921143,,,
74,74.0,3.2639055252075195,,,
75,75.0,4.369680881500244,,,
76,76.0,3.8650927543640137,,,
77,77.0,3.993924617767334,,,
78,78.0,4.1347246170043945,,,
79,79.0,3.995243787765503,,,
80,80.0,4.368447780609131,,,
81,81.0,3.841505527496338,,,
82,82.0,4.386959552764893,,,
83,83.0,4.352492332458496,,,
84,84.0,3.7680959701538086,,,
85,85.0,4.105544090270996,,,
86,86.0,4.343128681182861,,,
87,87.0,4.309503078460693,,,
88,88.0,4.601661205291748,,,
89,89.0,3.9444925785064697,,,
90,90.0,4.867545127868652,,,
91,91.0,3.871718406677246,,,
92,92.0,3.6762382984161377,,,
93,93.0,4.165504455566406,,,
94,94.0,4.297449588775635,,,
95,95.0,4.387023448944092,,,
96,96.0,4.37330436706543,,,
97,97.0,3.8150486946105957,,,
98,98.0,3.710378646850586,,,
99,99.0,3.749516487121582,,,
100,100.0,4.182658672332764,,,
101,101.0,4.148864269256592,,,
102,102.0,4.333237171173096,,,
103,103.0,4.242517471313477,,,
104,104.0,3.859095573425293,,,
105,105.0,4.093891143798828,,,
106,106.0,4.318435192108154,,,
107,107.0,4.373600959777832,,,
108,108.0,3.866239070892334,,,
109,109.0,4.289376735687256,,,
110,110.0,4.004289150238037,,,
111,111.0,3.903196334838867,,,
112,112.0,3.8885786533355713,,,
113,113.0,4.396872043609619,,,
114,114.0,3.9030752182006836,,,
115,115.0,3.6160855293273926,,,
116,116.0,3.6497936248779297,,,
117,117.0,4.520793437957764,,,
118,118.0,3.838831901550293,,,
119,119.0,4.233731269836426,,,
120,120.0,3.826107978820801,,,
121,121.0,4.590386867523193,,,
122,122.0,4.528508186340332,,,
123,123.0,3.7801241874694824,,,
124,124.0,4.4160380363464355,,,
125,125.0,4.162753105163574,,,
126,126.0,4.263866901397705,,,
127,127.0,4.121686935424805,,,
128,128.0,4.481825828552246,,,
129,129.0,4.361591339111328,,,
130,130.0,3.877265214920044,,,
131,131.0,4.548322677612305,0.15281028819806647,0.09090909090909091,0.05096509770422814
132,132.0,4.061715126037598,,,
133,133.0,3.7717835903167725,,,
134,134.0,3.954895496368408,,,
135,135.0,4.109480857849121,,,
136,136.0,3.6398563385009766,,,
137,137.0,3.8740923404693604,,,
138,138.0,4.264710426330566,,,
139,139.0,3.784680128097534,,,
140,140.0,3.5804295539855957,,,
141,141.0,3.921398162841797,,,
142,142.0,4.2240142822265625,,,
143,143.0,4.025094032287598,,,
144,144.0,4.023874759674072,,,
145,145.0,4.186975479125977,,,
146,146.0,4.041927337646484,,,
147,147.0,3.909606456756592,,,
148,148.0,3.880450963973999,,,
149,149.0,4.154762268066406,,,
150,150.0,4.008218288421631,,,
151,151.0,3.652712106704712,,,
152,152.0,4.337284088134766,,,
153,153.0,4.216757297515869,,,
154,154.0,3.9451730251312256,,,
155,155.0,3.4244163036346436,,,
156,156.0,3.9731249809265137,,,
157,157.0,4.299960613250732,,,
158,158.0,3.775209903717041,,,
159,159.0,3.890702724456787,,,
160,160.0,4.382569313049316,,,
161,161.0,3.756483554840088,,,
162,162.0,3.8302998542785645,,,
163,163.0,3.823853015899658,,,
164,164.0,4.153068542480469,,,
165,165.0,3.567265033721924,,,
166,166.0,4.287928581237793,,,
167,167.0,4.215167045593262,,,
168,168.0,3.7984747886657715,,,
169,169.0,4.2555389404296875,,,
170,170.0,3.405914783477783,,,
171,171.0,3.8332111835479736,,,
172,172.0,3.9840385913848877,,,
173,173.0,4.0142107009887695,,,
174,174.0,4.124759197235107,,,
175,175.0,3.5170912742614746,,,
176,176.0,4.12876558303833,,,
177,177.0,4.113280773162842,,,
178,178.0,4.146104335784912,,,
179,179.0,3.791964292526245,,,
180,180.0,3.8990702629089355,,,
181,181.0,3.807593822479248,,,
182,182.0,3.9520232677459717,,,
183,183.0,4.175878524780273,,,
184,184.0,3.58962345123291,,,
185,185.0,3.5610291957855225,,,
186,186.0,4.211094379425049,,,
187,187.0,3.7891898155212402,,,
188,188.0,3.7307095527648926,,,
189,189.0,3.748650550842285,,,
190,190.0,4.018675327301025,,,
191,191.0,3.6186771392822266,,,
192,192.0,3.8189141750335693,,,
193,193.0,3.625835418701172,,,
194,194.0,3.0853302478790283,,,
195,195.0,3.97491192817688,,,
196,196.0,3.8504221439361572,,,
197,197.0,4.111688137054443,0.14080642570148816,0.12878787878787878,0.08690634414318625
198,198.0,3.7420387268066406,,,
199,199.0,3.419079303741455,,,
200,200.0,3.2243905067443848,,,
201,201.0,3.6217501163482666,,,
202,202.0,3.715238094329834,,,
203,203.0,3.5711312294006348,,,
204,204.0,4.020333290100098,,,
205,205.0,3.6242096424102783,,,
206,206.0,3.8763184547424316,,,
207,207.0,3.3531887531280518,,,
208,208.0,3.469027280807495,,,
209,209.0,2.9831748008728027,,,
210,210.0,4.125229835510254,,,
211,211.0,2.926541805267334,,,
212,212.0,3.361945629119873,,,
213,213.0,3.7315077781677246,,,
214,214.0,3.079252004623413,,,
215,215.0,3.738816022872925,,,
216,216.0,3.208261013031006,,,
217,217.0,3.5085861682891846,,,
218,218.0,3.200338840484619,,,
219,219.0,4.050870418548584,,,
220,220.0,3.7695939540863037,,,
221,221.0,4.001187801361084,,,
222,222.0,3.4395341873168945,,,
